Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number
94193,JVC,LT-58N550A,,"Australia,Fiji,New Zealand",China,146.068,9162.865152,LCD (LED),0.266,0.0,0.0,110.9,,,427.0,Approved,2020-11-14,,Single product class,Available,4.0,,,4.44583835487339,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1660
94194,JVC,LT-32N646A,,"Australia,Fiji,New Zealand",China,80.039,2736.70931232,LCD (LED),0.0,0.0,0.0,30.41,,,120.0,Approved,2020-10-27,,Single product class,Available,5.0,,,5.40975090626217,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1628
94195,Dick Smith,GE6994,,Australia,China,105.493,4760.42,LCD,0.26,0.0,0.0,60.0,,,240.0,Approved,2020-11-03,,Single product class,Available,4.0,,http://www.dse.com.au,4.37826008753313,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1640
94196,BAUHN,ATV40-1015,,Australia,China,104.398,4695.152,LCD (LED),0.33,0.0,0.0,57.03,,,210.0,Approved,2020-11-03,,Single product class,Available,4.5,,http://www.tempoaustralia.com,4.92278474959423,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1639
94197,JVC,LT-55NU58A,,"Australia,Fiji,New Zealand",China,140.943,8535.9684,LCD (LED),0.0,0.0,0.0,150.51,,,552.0,Approved,2020-11-03,,Single product class,Available,3.0,,,3.00088034272666,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1638
94198,DGTEC,DG32HDDVD,,"Australia,New Zealand",China,80.039,2736.6498,LCD (LED),0.37,0.0,0.0,37.1,,,138.0,Approved,2020-10-23,,Single product class,Unavailable,4.5,,,4.78334132937051,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1624
94212,JVC,LT-55NU50A,,"Australia,Fiji,New Zealand",China,138.783,8230.1184,LCD (LED),0.375,0.0,0.0,130.54,,,503.0,Approved,2020-11-03,,Single product class,Available,3.0,,,3.26655349464876,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1637
94213,JVC,LT-65NU50A,,"Australia,Fiji,New Zealand",China,163.896,11478.122496,LCD (LED),0.26,0.0,0.0,198.54,,,763.0,Approved,2020-11-03,,Single product class,Available,2.5,,,2.78943460510797,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1636
94215,KOGAN,KALED32SMTZC,,"Australia,Fiji,New Zealand",China,80.043,2737.0771,LCD (LED),0.63,0.0,0.0,41.75,,,164.0,Approved,2020-10-23,,Single product class,Available,4.0,http://www.konka.com/cn/Index.aspx,,4.01034822788145,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1627
94216,JVC,LT-50NU56Z,,"Australia,Fiji,New Zealand",China,125.731,6754.867344,LCD (LED),0.27,0.0,0.0,114.432,,,441.0,Approved,2020-11-03,,Single product class,Available,3.0,,,3.04691870244757,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1635
94217,JVC,LT-55NU56Z,,"Australia,Fiji,New Zealand",China,138.026,8170.9236,LCD (LED),0.266,0.0,0.0,129.69,,,499.0,Approved,2020-10-23,,Single product class,Available,3.0,,,3.27252981810974,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1626
94281,KOGAN,KALED32XXXZD,,"Australia,Fiji,New Zealand",China,80.039,2736.70931232,LCD (LED),0.330972,0.0,0.0,30.711,,,120.0,Approved,2020-11-05,,Single product class,Unavailable,5.0,,,5.40975090626217,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1651
94294,JVC,LT-43N552A,,"Australia,Fiji,New Zealand",China,107.969,4975.8275,LCD (LED),0.31,0.0,0.0,59.83,,,225.0,Approved,2020-11-05,,Single product class,Available,4.5,,,4.84086340301205,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1648
94334,VEON,V50FHDM,,New Zealand,China,126.289,6824.4,LCD (LED),0.44,0.0,0.0,95.8,,,352.0,Approved,2020-10-29,,Single product class,Available,4.0,,,4.09869555075746,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1633
94361,BAUHN,ATVU48-1015,,Australia,China,120.94,6249.7589,LCD (LED),0.31,0.0,0.0,92.1,,,338.0,Approved,2020-10-30,,Single product class,Available,3.5,,http://www.tempoaustralia.com,3.9245686486353,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1634
94426,AKAI,AK-VJ5515FHD,,"Australia,New Zealand",China,138.783,8230.1184,LCD (LED),0.323,0.0,0.0,69.5,,,300.0,Approved,2020-11-20,,Single product class,Unavailable,5.5,,,5.5825858980043,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1663
94444,VEON,VN4019LEDDVD,,New Zealand,China,100.332,4261.93415424,LCD (LED),0.27,0.0,0.0,57.0,7.0,7.54931880789488,210.0,Approved,2115-11-06,,Single product class,Available,4.5,http://www.expressluck.com/,,4.54769006581945,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0254
94446,PALSONIC,TFTV805LED,,Australia,China,80.039,2736.7112736,LCD,0.27,0.0,0.0,33.57,,,130.0,Approved,2020-11-14,,Single product class,Available,5.0,,http://www.palsonic.com.au,5.05104846305836,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1659
94452,AKAI,AK-VJ6515FHDSM,,"Australia,New Zealand",China,163.896,11478.122496,LCD (LED),0.266,0.0,0.0,161.76,,,592.0,Approved,2020-12-02,,Single product class,Unavailable,3.5,http://www.qiyue.cn/,,3.92660121783765,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1671
94457,JVC,LT-49N552A,,"Australia,Fiji,New Zealand",China,123.488,6490.764,LCD (LED),0.34,0.0,0.0,90.41,,,335.0,Approved,2020-11-09,,Single product class,Available,4.0,,,4.117288854585,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1653
